Field Mark,Overall Year
50,56.5
75,71
70,75
60,66.8
65,55.5
75,68.5
55,58.8
60,80.5
65,82.5
75,71.8
75,55.5
65,71
65,66.5
65,74.3
50,55.3
65,58.3
70,66.5
45,70
70,63
55,75
55,71.8
40,58.5
65,68.5
70,72.3
80,68
70,72.3
70,64.5
70,54.3
65,75.3
55,61
80,76
75,66.8
50,62.8
65,73.5
65,75.8
65,68.5
60,69.3
65,59.5
60,57.3
65,64
65,67.5
65,71.8
70,75.8
65,57.3
70,69.5
80,69.3
55,74
75,61.3
55,65.3
60,71.5
70,89.8
65,61.5
65,67.5
60,76
55,75.3
60,63.8
80,72.5
55,73.3
70,72
60,63.3
75,74.8
60,66.3
70,59
60,74.5
65,80
65,69.8
85,62.5
80,66
70,67.5
75,82.8
70,71
75,77.5
65,64
60,73.3
50,62.5
85,75.3
70,67.8
70,73.8
70,61
65,70.8
70,69.8
30,53.8
